PartNumber,Description,Area (ft^2),Price
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,2.03,20000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,1.38,1000
TBX-NAIC_RACK F-DEN-FZW,Finished Good A FZW Dense Config,2.6,12000
A12-49712-02,FIBER TO ETHERNET APPLICATION MODULE 20KM,0.45,1000
XGU-FRO-230-I,JMA Wireless Dual Band Antenna X-Pol,3.46,2000
LGP12104,LGP PDU FOR TMA LITE 3 SECTOR,3.68,700
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.17,150000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,10.94,10000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,4.25,1000
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.88,14000
TRT-1101-084,Polyphaser AC POWER SURGE PROTECTION 110/120 VAC,2.22,500
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.02,70000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.78,110000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,12.24,400
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,2.26,2000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,5.95,4000
D2R(M)-P-C-A-W-7-Q43,PASSIVE DAS INT FILTER REM17DBM 5BANDS,0.34,8000
MIXS-00-CS1XG81DC=,Cisco HP DL360p db Server G8 192GB RAM,9.61,85000
TN1640,Lucent Circuit Pack Memory Data Link Board,0.82,6000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,11.7,2000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,6.48,4000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,3.67,150000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.88,2000
C72383,Nokia MEMORY MODULE,0.8,4000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,13.31,400
JH145A,HPE FlexNetwork 5510 24G 4SFP+ Switch,5.01,5000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,3.06,5000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.22,1300
TBX-NAIC_RACK H-BASIC-FZW,Finished Good C FZW High Basic,2.84,180000
00Y3254,Cisco Catalyst Switch Module 3110G for IBM BladeCenter,3.49,4000
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,8.95,10000
TBX-NAIC_RACK Z-DEN-FZW,Finished Good B FZW Zone Dense,3.26,1700
C9300L-24T-4G-E,Cisco Catalyst 9300L Switch,4.0,143000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,3.66,16000
NT3P64CA,Nortel RACK,13.03,13000
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.4,70000
M5XDY,ASSY SWT ARISTA 7050QX2-32S-F,3.95,20000
TBX-NAIC_RACK F-BASIC-FZW,Finished Good D FZW Basic Config,2.46,1300
GM106385-SA2,KOHLER 24KW Natural Gas Generator EPA Outdoor,13.82,10000
DCS-7050QX-32S-R,Arista 7050X 32xQSFP+ & 4xSFP+ switch,5.53,5000
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.25,2000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,14.37,400
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,2.9,70000
24HD2000,C&D Technologies LIBERTY 2000 MAX BATTERY,6.77,15000
3923367000,NOKIA-AIRSCALE-BRKT POLE/WALL MOUNT KIT,3.86,1000
100-00261,CALIX DS1 Plug-In Card 12 Port,0.31,1800
TBX-NAIC_RACK F-MED-FZW,Finished Good B FZW Medium Config,3.23,14000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,7.45,2000
MKT-006-11048,Eastern Research DNX11-DC Digital Network Exchange PSU,5.19,2000
TBX-NAIC_RACK F-SDEN-FZW,Finished Good C FZW Super Dense Config,2.15,16000
NT3P64CA,Nortel RACK,12.95,13000
TBX-NAIC_RACK Z-MED-FZW,Finished Good C FZW Zone Medium,2.21,18400
TBX-NAIC_RACK H-DEN-FZW,Finished Good C FZW High Density,3.11,70000
TBX-NAIC_RACK H-COMP-FZW,Finished Good A FZW High Complete,3.52,110000
PWLA8494GT,Intel Pro/1000 GT Quad Port Server Adapter,11.63,400
VFA14-XDS-BF,14FT SINGLE TIE BACK FRAMES W/ 5 FT STANDOFF,3.99,2000
550-0054-161,Genband TERMINAL SERVER MRV 48 PORT Dual DC,12.75,2000
TBX-NAIC_RACK F-COMP-FZW,Finished Good B FZW Complete Config,2.81,150000
